user_id,sum,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
1099,1795000,1795,9383,f,"{""mindfulness"":""high""}",1951-05-10 07:10:30.599+00,mindfulness,
1100,230000,230,46,f,"{""mindfulness"":""high""}",1994-05-10 10:40:00.862+00,mindfulness,
1101,700000,700,280,f,"{""mindfulness"":""none""}",1969-05-10 14:36:07.27+00,mindfulness,
1103,10000,10,2,m,"{""mindfulness"":""low""}",1984-05-10 18:25:29.199+00,mindfulness,
1106,1345000,1345,22264,f,"{""yoga"":""medium""}",1974-05-10 21:24:15.892+00,yoga,
1108,8640000,8640,6303,f,"{""mindfulness"":""low""}",1981-05-10 23:51:11.25+00,mindfulness,
1113,3380000,3380,5408,f,"{""mindfulness"":""none""}",1962-05-11 01:24:18.077+00,mindfulness,
1114,10775000,10775,67304,f,"{""yoga"":""high""}",1996-05-11 01:40:04.53+00,yoga,2015-06-10 01:41:34.142+00
1115,16020000,16020,191064,m,"{""mindfulness"":""low""}",1965-05-11 02:14:55.355+00,mindfulness,
1117,695000,695,278,f,"{""mindfulness"":""low""}",1982-05-11 02:41:50.643+00,mindfulness,
1118,150000,150,60,m,"{""mindfulness"":""low""}",1994-05-11 03:33:26.897+00,mindfulness,
1119,15000,15,143,m,"{""mindfulness"":""low""}",1986-05-11 04:07:05.906+00,mindfulness,
1121,65000,65,23,m,"{""mindfulness"":""none""}",1964-05-11 07:18:25.974+00,mindfulness,
1122,1300000,1300,1143,f,"{""mindfulness"":""medium""}",1973-05-11 11:15:30.309+00,mindfulness,
1123,725000,725,435,f,"{""mindfulness"":""low""}",1974-05-11 14:10:35.917+00,mindfulness,
1125,265000,265,53,m,"{""mindfulness"":""none""}",1957-05-11 14:32:01.755+00,mindfulness,
1127,10000,10,2,m,"{""mindfulness"":""none""}",1950-05-11 15:17:54.285+00,mindfulness,
1130,515000,515,206,m,"{""mindfulness"":""medium""}",1991-05-11 16:03:15.022+00,mindfulness,
